code	name	last_modified	transfer_auto	transfer_evidence	vital_auto	vital_evidence	health_sensitive_auto	health_evidence	medical_basis_auto	medical_evidence	law_first_line
ET	Ethiopia	23 March 2026	COND	Transfer of data to a third party jurisdiction is allowed provided that the third party jurisdiction to which the data is to be transferred ensures appropriate levels of protection.	no		yes	Definition of sensitive personal data Article 2 (5) of the Personal Data Protection Proclamation No.1321/2024 defines“ Sensitive Personal Data” as a natural person's data on: racial or ethnic origins; genetic or biometric data; or physical or mental health or condition.	yes	The Freedom of the Mass Media and Access to Information Proclamation No. 590/2008, applicable to government entities, is understood to generally define personal data as information about an identifiable individual that relates, but is not limited, to: medical, education, academic, employment, financ	Ethiopia has several laws that relate to privacy and data security, including: Personal Data Protection Proclamation No.1321/2024 The 1995 Constitution of the Federal Democratic Republic of Ethiopia; The 2005 Criminal Code of the Federal Democratic Republic of Ethiopia: The 1960 Civil Code, the Comp
FM	Federated States of Micronesia	2 February 2026	COND	None.	no		no		no		"A Bill is pending before FSM Congress for the"" Personal Data Protection Act of 2025."" If enacted into law, this Act will regulate the protection of personal data by national government departments."
FJ	Fiji	19 March 2026	COND	No applicable laws.	no		no		no		There is no specific legislation for personal data protection in Fiji.
FI	Finland	13 February 2026	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
FR	France	23 February 2026	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special category data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 legal basi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) (“GDPR” or” Regulation” ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, w
GA	Gabon	6 January 2025	COND	Data transfers to another country are prohibited unless the other country ensures an adequate level of privacy protection and protection of fundamental rights and freedoms of individuals with regard to the processing operation.	no		yes	Definition of Sensitive Personal Data All personal data relating to religious, philosophical, political or trade union opinions or activities, sex life, health, social race, health, social measures, prosecution, criminal or administrative sanctions (Article 6 Of The Personal Data Act 2023 And Articl	no		The data protection regime in Gabon is governed by the following laws and regulations: Act no. 025/2023 of 09/07/2023 amending Act no. 001/2011 of 25 September 2011 on the protection of personal data; Law No. 26/2018 of 22 October 2018 regarding Electronic Communications in Gabon; Law No. 02/2004 of
GE	Georgia	13 March 2026	COND	Under Georgian law, the transfer of personal data to another country or international organization is allowed only if specific conditions are met.	yes	Transfers are permissible when they comply with the requirements established by the law and adequate safeguards for data protection and the rights of the data subject are ensured in the recipient country or organization. ¹ Transfers are also permitted if: the transfer is provided for under an intern	yes	The law also defines special categories of personal data, which include data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, trade union membership, health data, data concerning a person’s sex life, as well as genetic and biometric data processed for the pu	no		The primary legal framework governing the protection of personal data in Georgia is the Law of Georgia on Personal Data Protection, adopted on 14 June 2023.
DE	Germany	16 February 2026	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	At a glance Germany adjusted its legal framework to align with the GDPR through the new German Federal Data Protection Act (BDSG), which came into force on May 25, 2018.
GH	Ghana	18 March 2026	FREE	There are no specific provisions in the Act on the transfer of personal data.	no		yes	However 'special personal data', is defined as personal data which relates to: the race, colour, ethnic or tribal origin of the data subject; the political opinion of the data subject; the religious beliefs or other beliefs of a similar nature, of the data subject; the physical, medical, mental heal	no		The primary legislation governing privacy / data protection in Ghana is the Data Protection Act, 2012 (Act 843).
GI	Gibraltar	19 January 2024	COND	Transfers from Gibraltar Transfers of personal data by a controller or a processor to third countries outside of Gibraltar are only permitted where the conditions laid down in Chapter V of the Gibraltar GDPR are met (Article 44).	yes	Article 49 of the UK GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is n	yes	"The Gibraltar GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Arti"	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	Following the UK’s exit from the European Union, Gibraltar ceased to be a territory within the European Union as of midnight 31st December 2020.
GR	Greece	16 January 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
GT	Guatemala	21 December 2021	COND	Transfer of Personal Data is not regulated, however, Art. 31 of the Law on Access to Public Information establishes that written consent is necessary for any type of information transfer and bans expressly the commercialisation of sensitive data and sensitive personal data.	no		yes	Definitions in Guatemala Definition of Personal Data Article 9, number 1 of the Law on Access to Public Information defines Personal Data as“ relative to any information pertaining to natural persons identified or identifiable.” Definition of Sensitive Personal Data Article 9, number 2 of the Law on	no		This content was last reviewed in 2021 and may not reflect recent legislative updates.
GG	Guernsey	28 February 2026	COND	The DPL 2017 differentiates between authorised jurisdictions and unauthorised jurisdictions .	yes	"Personal data must not be transferred outside of the Bailiwick of Guernsey by a controller or processor ("" Exporter"" ) to an unauthorised jurisdiction unless the Exporter is satisfied that: particular 'safeguards' are in place and there is a mechanism for data subjects to enforce their rights and ob"	yes	Definition of special category data 'Special category data' means personal data consisting of information as to a data subject's: racial or ethnic origin political opinions religious or philosophical beliefs trade union membership genetic data, meaning personal data relating to the inherited or acqu	no		"The Data Protection (Bailiwick of Guernsey) Law, 2017 (""DPL 2017"") came into force on 25 May 2018 to coincide with the enforcement of the EU's General Data Protection Regulation (EU) 2016/670 (""GDPR"")."
GN	Guinea	20 December 2021	AUTH	Before any effective transfer of personal data to the third country, the data controller must obtain prior authorisation from the personal data protection authority.	no		yes	L/2016/037/AN, sensitive data is all personal data, relating to religious, philosophical, political, trade union opinions or activities, sexual or racial life, health, social measures, prosecution, criminal and administrative sanctions.	no		This content was last reviewed in 2021 and may not reflect recent legislative updates.
HT	Haiti	16 January 2025	COND	If personal data is communicated to a third party, it has to be accessible with the possibility to be modified by the person on which they have been stored.	no		no		no		Arrêté fixant les règles relatives à la protection des données à caractère personnel, published in the official gazette, Le Moniteur, #87 of May 15, 2018.
HN	Honduras	10 February 2025	COND	Individuals and / or companies may not transfer, commercialize, sell, distribute or provide access to personal data contained in databases developed in the course of their job, except with the express and direct written consent of the person to whom that data refers, subject to certain exceptions.	no		yes	Definitions in Honduras Definition of personal data Public Personal Data under the Law of the Civil Registry is defined as: Public Data whose disclosure is not restricted in any way, and includes the following: Names and surnames ID number Date of birth and date of death Gender Domicile (but not add	no		Personal data protection is regulated mainly in: National Constitution : Article 182 provides the constitutional protection of habeas data, giving individuals the right 'to access any file or record, private or public, electronic or hand written, that contains information which may produce damage to
HK	Hong Kong, SAR	8 March 2026	LOCAL	Nevertheless, non‑binding best practice guidance published by the PCPD encourages compliance with the cross‑border transfer restrictions in section 33 of the Ordinance, which prohibit the transfer of personal data to a place outside Hong Kong unless certain conditions are met (including a white list	no		no		no		The Personal Data (Privacy) Ordinance (Cap. 486) (Ordinance) regulates the collection and handling of personal data.
HU	Hungary	13 March 2026	COND	EU regulation Transfers of personal data by a controller or a processor to third countries outside of the EU (and Norway, Liechtenstein and Iceland) are only permitted where the conditions laid down in the GDPR are met (Article 44).	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring im
IS	Iceland	16 January 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
IN	India	13 February 2026	LOCAL	Data localisation While the DPDP Act itself does not provide for data localisation requirements, it recognizes that other sector-specific statutes and regulations may have restrictions on storing certain classes of data, which may include personal data.	no		no		no		Until 2023, India did not have a standalone law or framework to govern data protection.
ID	Indonesia	13 February 2026	COND	Cross border transfers Transfers of personal data, including transfers outside of the territory of the Republic of Indonesia would principally require an underlying basis.	no		yes	"Definition of sensitive personal data Sensitive personal data under the PDP Law is referred to as"" specific personal data"", which would include any: health data and records, biometric data, (iii) genetic data, criminal records, children’s data, personal financial data, and / or any other data as (ma"	yes	With the enactment of the PDP Law, the lawfulness of processing personal data has been extended and is largely similar with the GDPR, which are currently as follows: consent: the data subject has given explicit consent to the processing of his / her personal data for one or more specific purposes as	"Specific regulations Indonesia has adopted an overarching framework for personal data protection through the enactment of Law No. 27 of 2022 concerning Personal Data Protection (""PDP Law"") since 17 October 2022."
IR	Iran	23 May 2019	COND	The Charter of Citizen’s Rights prohibits personal data transfers without express data subject consent.	no		yes	Under the E-Commerce Law“ sensitive personal data” has customarily been understood to mean data relating to family matters, criminal records, tribal or ethnic origins, moral and religious beliefs, ethical characteristics, sexual habits and data regarding health, physical or psychological status.	no		This content was last reviewed in 2019 and may not reflect recent legislative updates.
IE	Ireland	17 January 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
IL	Israel	25 December 2024	COND	"The transfer of Personal Data abroad is subject to the Privacy Protection Regulations (Transfer of Data to Databases Abroad), 5761-2001 ("" Transfer Regs"" ), pursuant to which Personal Data may be transferred abroad only to the extent that: the laws of the country to which the data is transferred ens"	no		yes	Definition of sensitive personal data Sensitive Data, as currently defined under the PPL, means: data on the personality, intimate affairs, state of health, economic position, opinions and beliefs of a person; and other information if designated as such by the Minister of Justice with the approval o	yes	On March 5, 2024, the IPA published Policy: Protection of Patients' Privacy in the Transmission of Medical Information Through Digital Means which includes recommendations for organizations, medical professionals, and healthcare institutions on transfer of medical information such as: limiting the u	The laws that govern the right to privacy in Israel are the Basic Law: Human Dignity and Liberty, 5752 -1992; the Protection of Privacy Law, 5741-1981 and the regulations promulgated thereunder (the 'PPL') and the guidelines of the Israel Privacy Authority (as defined below).
IT	Italy	16 January 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two year transition period, became directly applicable law in all Member States of the European Union on 25 May 2018, without requiring i
JP	Japan	12 February 2026	COND	Disclosing / sharing personal information Currently, personal data (meaning personal information stored in a database) may not be disclosed to a third party without the prior consent of the individual, unless the business operator handling the personal information adopts the opt-out method, provides	no		no		no		"The Act on the Protection of Personal Information ("" APPI"" ) regulates privacy protection issues in Japan and the Personal Information Protection Commission ("" PPC"" ), a central agency acts as a supervisory governmental organization on issues of privacy protection."
JE	Jersey	16 January 2025	COND	The DPJL (Article 67) provides that data controllers and processors may only transfer personal data out of the European Economic Area if one of the following conditions are met: The transfer is to a jurisdiction which has been held by the European Commission to provide an adequate level of protectio	yes	An exemption applies, the most commonly utilized of which are as follows: The transfer is specifically required by a Jersey court The data subject explicitly consents The transfer is necessary for the performance of a contract to which the data subject is party or the implementation of pre-contractu	yes	A 'data subject' is defined in the DPJL as an identified or identifiable, natural living person who can be identified, directly or indirectly, by reference to (but not limited to) an identifier such as: A name, an identification number or location data An online identifier (which may include an IP a	yes	The most frequently relied upon bases for processing special category data are as follows: The explicit consent of the data subject The processing is necessary to comply with a data controller’s legal obligations (other than one imposed by contract) The processing is necessary for the purposes of ex	The Data Protection (Jersey) Law, 2018 (DPJL) and the Data Protection Authority (Jersey) Law, 2018 (DPAJL) came into force on May 25, 2018.
JO	Jordan	8 February 2026	LOCAL	Additionally, Article (15) prohibits the transfer of data outside the Kingdom to any person, including recipients, where the level of data protection is lower than that required under the law, unless specific exceptions apply.	no		yes	Sensitive Personal Data : Any data or information related to a natural person that directly or indirectly indicates their origin, race, political opinions, religious beliefs, financial status, health, physical or mental condition, genetic data, biometric data, criminal record, or any information dee	no		Personal Data Protection Law No.
KZ	Kazakhstan	13 February 2026	COND	Transfers of personal data are allowed if they do not violate the rights and freedoms of a personal data subject and do not affect the legitimate interests of other individuals and / or legal entities.	no		no		no		The main legal act regulating personal data in Kazakhstan is the law of the Republic of Kazakhstan No. 94-V dated May 21, 2013 'On Personal Data and Its Protection' (the 'Law').
KE	Kenya	23 March 2026	COND	The transfer of personal data outside Kenya is highly regulated under the Act (Part VI of the Act).	yes	Any country or territory is taken to have appropriate safeguards if it has: a reciprocal data protection agreement with Kenya; ratified the African Union Convention on Cyber Security and Personal Data Protection (the Malabo Convention); or contractual binding corporate rules among a concerned group 	yes	Definition of sensitive personal data Sensitive personal data is defined as data revealing the natural person's race, health status, ethnic social origin, conscience, belief, genetic data, biometric data, property details, marital status, family details including names of the person's children, pare	no		The Data Protection Act, 2019 (the“ Act” ) came into force on 25th November, 2019 and is now the primary statute on data protection in Kenya.
XK	Kosovo	4 February 2025	COND	In the context of transfer of personal data, the LPPD addresses two situations: Transfer of personal data to countries and international organisations which ensure an adequate level of data protection, and Transfer of personal data to countries and international organisations which do not provide ad	no		yes	Definition of Sensitive Personal Data“ Sensitive Personal Data” is defined as“ personal data revealing ethnic or racial origin, political or philosophical views, religious affiliation, union membership or any data related to health condition or sexual life, any involvement in or removal from crimina	yes	Notwithstanding the above, exemptions to prohibition of processing of sensitive personal data include the following circumstances (Article 6(3)): The data subject has given his/her explicit consent to the processing of those personal data for one or more specific purposes, except where the relevant 	The Law on Protection of Personal Data No.06/L-082 (“ LPPD” ) is the Kosovan law which entered into force and became applicable on 13 February 2019.
KW	Kuwait	4 February 2025	COND	Pursuant to the Data Protection Regulation, service providers are required to inform their users about the purposes of data processing, provide a description of the categories of data subjects and types of personal data involved, and disclose any transfer of personal data to foreign countries, speci	no		no		no		To date, Kuwait does not have a dedicated personal data protection law applying to all juristic or natural personsw.
KG	Kyrgyzstan	4 February 2025	COND	The Law on Personal Data allows transfer of personal data both within the country and abroad.	no		no		no		The Constitution of the Kyrgyz Republic prohibits collection, storage, use and dissemination of confidential information, private life information is not allowed without consent confidential / private life information subject.
LA	Laos	27 March 2026	COND	The Law on Electronic Data Protection provides that the transfer of data must comply with the following requirements: the Information Owner has given its consent for the transfer of the electronic data; the individual or legal entity transferring the electronic data ensures that the receiving entity	no		no		yes	A list of examples of sensitive data is provided in the Instructions on the Implementation of the Law on Electronic Data (2018), which includes“ information on customers, financial information, CV, history of medical treatment, race, religion, project plan, budget plan, official secret, etc.” (Secti	In Laos, the comprehensive regulatory framework on data privacy focuses on data in its digital form – electronic data – and no other.
LV	Latvia	4 February 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: Explicit informed consent has been obtained The transfer is necessary for the performance of a contract or the implementation of pre-contractual measures The transfer is necessary for the co	yes	The GDPR creates more restrictive rules for the processing of special categories (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10).	yes	Note also that this basis cannot be relied upon by a public authority in the performance of its tasks) Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
LB	Lebanon	21 December 2022	COND	The Law is silent on cross-border data transfers.	no		no		no		This content was last reviewed in 2022 and may not reflect recent legislative updates.
LS	Lesotho	16 March 2026	COND	The DP Act distinguishes between the transfer of personal information to a recipient in a Member State of the South African Development Community (SADC) that has transposed the SADC data protection requirements and the transfer of personal information to a Member state that has not transposed the SA	no		yes	Definitions in Lesotho Definition of personal data The DP Act defines personal data or information as being information about an identifiable individual that is recorded in any form, including: Information relating to the race, national or ethnic origin, religion, age or marital status of the indivi	no		The right to privacy is recognized and protected under the Constitution of the Kingdom of Lesotho.
LR	Liberia	23 February 2024	COND	The transfer of data out of Liberia is not specifically addressed by any Liberian law.	no		no		no		Data Privacy Protection Laws.
LY	Libya	18 January 2024	FREE	There are no provisions relating to internal data transfer.	no		no		no		Currently, there is no specific data protection law in Libya.
LT	Lithuania	3 February 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: Explicit informed consent has been obtained; The transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; The transfer is necessary for the 	yes	The GDPR creates more restrictive rules for the processing of special categories (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10).	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): Wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
LU	Luxembourg	4 February 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: Explicit informed consent has been obtained The transfer is necessary for the performance of a contract or the implementation of pre-contractual measures The transfer is necessary for the co	yes	The GDPR creates more restrictive rules for the processing of special categories (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10).	yes	Note also that this basis cannot be relied upon by a public authority in the performance of its tasks) Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
MO	Macau SAR	4 February 2026	COND	The transfer of personal data outside Macau can only take place if the recipient country ensures an adequate level of personal data protection, unless the data subject has provided clear consent or the required legal conditions have been met, and the required filings have been made with the OPDP.	no		yes	Definition of sensitive personal data The Law defines sensitive personal data as any personal data revealing political persuasion or philosophical beliefs, political and joint trade union affiliation, religion, private life, racial or ethnical origin or data related to health or sex life, including 	no		Macau Personal Data Protection Law no. 8/2005 of August 22nd (Law).
MG	Madagascar	4 February 2025	COND	The transfer of a data subject's personal data to a third party country is allowed only if the country guarantees to individuals a sufficient level of protection in terms of privacy and fundamental rights and liberties.	no		yes	Definition of sensitive personal data Sensitive personal data means data which includes information relating to: Racial origin; Biometric and genetic information; Political opinion; Religious belief or other convictions; Trade-union affiliation; and / or Health or sexual life.	no		Law No. 2014-038 relating to protection of personal data is the main regulatory framework in Madagascar (the“ Data Protection Law” ).
MY	Malaysia	12 February 2026	COND	Pursuant to the Amendment Act, the data controllers may transfer any personal data of a data subject out of Malaysia to a country that has substantially similar laws or where the country ensures equivalent levels of protection to that of the PDPA.	yes	Even if these requirements are not satisfied, the cross-border transfer is permissible if it falls within the exceptions to this restriction under the PDPA, including the following: The data subject has given his or her consent to the transfer; The transfer is necessary for the performance of a cont	yes	Definition of sensitive personal data 'Sensitive personal data' means any personal data consisting of information as to the physical or mental health or condition of a data subject, his or her political opinions, his or her religious beliefs or other beliefs of a similar nature, the commission or al	no		Malaysia's first comprehensive personal data protection legislation, the Personal Data Protection Act 2010 (PDPA), was passed by the Malaysian Parliament on June 02, 2010 and came into force on November 15, 2013.
MT	Malta	12 February 2026	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: Explicit informed consent has been obtained The transfer is necessary for the performance of a contract or the implementation of pre-contractual measures The transfer is necessary for the co	yes	The GDPR creates more restrictive rules for the processing of special categories (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10).	yes	Note also that this basis cannot be relied upon by a public authority in the performance of its tasks) Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
MU	Mauritius	16 March 2026	COND	A controller or processor may transfer personal data to another country where any of the following apply: It has provided to the Commissioner proof of appropriate safeguards with respect to the protection of the personal data; The data subject has given explicit consent to the proposed transfer, aft	yes	A controller or processor may transfer personal data to another country where any of the following apply: It has provided to the Commissioner proof of appropriate safeguards with respect to the protection of the personal data; The data subject has given explicit consent to the proposed transfer, aft	yes	Special categories of data include personal data pertaining to any of the following about a data subject: Racial or ethnic origin; Political opinion or adherence; Religious or philosophical beliefs; Membership of a trade union; Physical or mental health or condition; Sexual orientation, practices or	yes	It is also possible to process special categories of personal data when: Processing relates to personal data which are manifestly made public by the data subject; Processing is conducted in the course of its lawful activities by a not-for-profit body with political, philosophical, religious, or trad	Mauritius regulates data protection under the Data Protection Act 2017 (DPA 2017 or Act), proclaimed through Proclamation No. 3 of 2018 and effective on January 15, 2018.
MX	Mexico	28 January 2024	COND	Mexican privacy laws distinguish between 'transfers' of personal data (to third parties) and transmissions of personal data (to processors).	no		no		yes	On the other hand, consent from the data subject is not required (but a privacy notice must still be made available) for the processing of personal data where any of the following apply: The processing is required pursuant to an applicable Mexican law The data is contained in publicly available sour	The Federal Law on the Protection of Personal Data held by Private Parties (Ley Federal de Protección de Datos Personales en Posesión de los Particulares) was in force until July 6, 2010.
MD	Moldova	13 February 2026	COND	Transfers of personal data by a controller or a processor are permitted taking into account the principle of free movement of data to EU countries and to third countries that ensures an adequate level of protection of personal data subjects’ rights and of data intended for transfer.	yes	The Law on Personal Data Protection also includes a list of context specific derogations, permitting transfers to countries that do not ensure an adequate level of protection: if the transfer is provided under an international treaty to which Moldova is a signatory; the data subject consents to the 	yes	Such special categories include data related to race, ethnic origin, political opinions, religious or philosophical beliefs, social belonging, data concerning health or sex life, as well as data relating to criminal convictions, administrative sanctions or coercive procedural measures.	no		The main national legal acts regulating personal data protection in Moldova are: the Constitution of the Republic of Moldova (Article 28); the Law No. 133 of 08 July 2011 on Personal Data Protection; the Law No. 182 of 10 July 2008 regarding the approval of the National Centre for Personal Data Prot
